g,c,chimera_nb,nb_sequence,nb_base,m_N50,m_tt_length,m_nb_contig,w_N50,w_tt_length,w_nb_contig
50,1,12010,403204,1909314553,7808,104868,20,,,
50,2,12007,381016,1903164351,5358,89074,19,,,
50,3,12007,377486,1902091512,7808,104618,20,,,
50,4,12007,376325,1901768847,7808,105875,22,,,
50,5,12007,375908,1901645551,7808,105750,21,,,
50,6,12007,375754,1901595140,7808,108269,23,,,
50,7,12007,375639,1901559235,5358,92725,22,,,
50,8,12007,375616,1901546264,7808,107012,21,,,
50,9,12007,375574,1901538094,7808,105750,22,,,
50,10,12007,375557,1901530677,7808,105750,21,,,
50,11,12007,375547,1901528016,7808,105551,21,,,
50,12,12007,375533,1901525725,7808,104868,20,,,
50,13,12007,375533,1901525571,7808,104868,20,,,
50,14,12007,375534,1901524463,7808,103356,20,,,
50,15,12007,375535,1901523760,7808,103356,20,,,
150,1,6393,1975531,3728464363,25154,44009827,2009,,,
150,2,5603,1694341,3109673467,21365,24236184,1283,,,
150,3,5356,1414351,2587877366,19782,24236184,691,,,
150,4,5172,1160558,2211732124,17540,12276864,393,,,
150,5,5051,950653,1923879010,16739,6502881,237,,,
150,6,4984,779533,1707952968,16629,3615461,112,,,
150,7,4924,644794,1548481676,19494,179955,73,,,
150,8,4910,539764,1433108796,20791,1118508,47,,,
150,9,4892,459341,1350481842,20709,550006,31,,,
150,10,4881,399836,1290221425,22620,465453,29,,,
150,11,4875,354017,1247140022,19555,442599,32,,,
150,12,4867,320537,1216188600,14494,296120,24,,,
150,13,4863,294746,1193826377,12269,255115,24,,,
150,14,4859,275502,1177526639,13046,206418,21,,,
150,15,4857,261034,1165680183,16075,140878,14,,,
250,1,7540,1414851,5258688579,121831,179163226,2316,,,
250,2,5578,1417951,4836806870,74380,155252793,2925,,,
250,3,4821,1396997,4412538910,57344,130243924,2968,,,
250,4,4394,1352119,4041022092,46825,107008952,2806,,,
250,5,4142,1293395,3694231199,41363,86523584,2533,,,
250,6,3973,1222343,3374894142,36841,68771476,2213,,,
250,7,3773,1142748,3071689184,32828,53887738,1893,,,
250,8,3663,1063042,2795956308,29906,40389704,1543,,,
250,9,3547,978732,2539933420,27328,29113560,1166,,,
250,10,3465,895723,2307068446,25806,21221705,912,,,
250,11,3431,812413,2097689390,23462,15190721,691,,,
250,12,3352,733665,1912125743,22882,10053208,469,,,
250,13,3312,657869,1748543650,22757,6845796,318,,,
250,14,3296,587908,1608099929,25034,4501478,197,,,
250,15,3269,523158,1488137294,25759,3493105,154,,,
350,1,8323,1167046,5922411385,119615,203059788,430,,,
350,2,6308,1161166,5666465748,604222,200331928,740,,,
350,3,5324,1156144,5393685430,342431,196691390,1116,,,
350,4,4617,1148176,5153513907,232805,190287416,1526,,,
350,5,4126,1141420,4916628067,154487,180740312,1922,,,
350,6,3831,1131278,4678553232,112907,169045926,2260,,,
350,7,3558,1117951,4440450401,87540,155402178,2481,,,
350,8,3400,1102427,4197793191,70623,140227049,2625,,,
350,9,3274,1082302,3947568588,58759,124994685,2701,,,
350,10,3103,1056457,3694469382,49482,107217004,2620,,,
350,11,3008,1023768,3437486430,44743,89868526,2395,,,
350,12,2902,983865,3179248467,39931,73141373,2164,,,
350,13,2807,936019,2920119746,35595,58615464,1898,,,
350,14,2751,879592,2670142434,32497,44811217,1569,,,
350,15,2677,818697,2425844937,30638,33072081,1229,,,
450,1,8608,1094850,6189796173,3320060,203765273,225,,,
450,2,6536,1084769,6010305061,3013069,203630002,271,,,
450,3,5768,1074916,5815166433,1541059,202840218,375,,,
450,4,5047,1062765,5642054289,969528,201256447,532,,,
450,5,4396,1052438,5476238217,589815,199269263,735,,,
450,6,3964,1044599,5312498915,392143,196300614,972,,,
450,7,3613,1036141,5143647769,286207,192282487,1271,,,
450,8,3353,1029550,4969786419,193912,185591500,1576,,,
450,9,3205,1022802,4786323799,156447,177277334,1828,,,
450,10,3030,1017501,4590287314,114664,167006154,2133,,,
450,11,2896,1008753,4378038412,91275,155381011,2380,,,
450,12,2748,997674,4149224146,74248,141170842,2515,,,
450,13,2621,982589,3908585672,61113,124753444,2599,,,
450,14,2538,962113,3649937970,51615,106392459,2552,,,
450,15,2456,932984,3379587796,44503,89117861,2385,,,
550,1,8819,1066435,6327227692,4974324,203526661,171,,,
550,2,6602,1055119,6183701859,4349185,203693034,199,,,
550,3,6020,1045548,6034248645,3375926,203083763,222,,,
550,4,5408,1033441,5894608166,2204179,203077177,296,,,
550,5,4734,1021261,5760860300,1678309,202687562,370,,,
550,6,4192,1010606,5631278039,1036955,201408486,499,,,
550,7,3736,1000609,5497449546,672155,199015703,635,,,
550,8,3441,994022,5367228282,437619,196799115,879,,,
550,9,3166,987693,5222937806,307595,193396784,1127,,,
550,10,2992,984558,5071432856,231530,188116681,1432,,,
550,11,2828,980337,4899669031,170562,180255314,1740,,,
550,12,2673,975468,4712383063,124407,169847148,2016,,,
550,13,2546,969857,4504124941,96919,158252685,2267,,,
550,14,2436,963093,4269955472,78915,142314544,2432,,,
550,15,2319,951434,4013656726,61902,126280868,2574,,,
650,1,9114,1052187,6408697534,5519355,202904200,168,,,
650,2,6764,1040044,6289664736,4341788,203217350,170,,,
650,3,6265,1030768,6165351552,5068043,203705647,184,,,
650,4,5690,1021884,6048007397,361538,203463848,219,,,
650,5,5037,1008789,5928624585,2940273,203186168,265,,,
650,6,4415,995564,5819268659,1824453,202431923,308,,,
650,7,3939,985447,5710437984,1224248,201480135,425,,,
650,8,3580,975479,5599337901,776820,199677810,535,,,
650,9,3340,969340,5486659975,545326,197633013,740,,,
650,10,3135,965761,5359838785,367391,194877422,982,,,
650,11,2957,962571,5218719455,265502,190429836,1262,,,
650,12,2749,959557,5062191348,190525,183501185,1571,,,
650,13,2570,957861,4882367459,138428,174818453,1916,,,
650,14,2447,954848,4673257381,103567,163452216,2236,,,
650,15,2325,949648,4437772415,82583,147501209,2425,,,
750,1,9482,1045195,6466602735,4220489,202847549,168,,,
750,2,6918,1032619,6357632928,4753136,203048962,171,,,
750,3,6411,1023942,6248918470,581606,203372524,183,,,
750,4,5859,1014849,6141280162,5817989,203198314,183,,,
750,5,5152,1002760,6039197470,4346192,202999472,206,,,
750,6,4536,989322,5939052566,3212102,202658828,247,,,
750,7,4062,978610,5843754151,1878962,202201584,302,,,
