g,c,chimera_nb,nb_sequence,nb_base,m_NGA50,m_tt_length,m_nb_contig,m_indels_per_100kb,m_mismatchs_per_100kb,m_misassembly,w_NGA50,w_tt_length,w_nb_contig,w_indels_per_100kb,w_mismatchs_per_100kb,w_misassembly
150,1,333,-,-,321155,104731420,456,6399.53,321155,463,348561,102123006,405,165.02,71.08,289
150,2,223,-,-,265670,103406874,552,6356.86,265670,408,327075,102011673,454,209.05,94.8,300
150,3,171,-,-,208597,101136234,673,6324.44,208597,362,310771,101061362,506,266.06,130.88,290
150,4,121,-,-,165937,99576683,802,6319.94,165937,339,272941,100356578,593,308.33,158.03,270
150,5,102,-,-,148442,97623185,864,6278.76,148442,282,254918,99465472,638,344.23,172.79,270
150,6,83,-,-,124356,95215312,953,6275.44,124356,266,218677,98449849,659,389.25,204.02,264
150,7,80,-,-,109941,93421658,1026,6260.49,109941,253,201797,97679960,715,425.47,234.11,258
150,8,59,-,-,95217,91142411,1112,6256.12,95217,243,182388,96892478,822,491.37,278.25,245
250,1,326,-,-,-,-,-,-,-,-,506251,103909799,183,99.56,46.05,370
250,2,263,-,-,453115,109744659,280,6901.99,453115,765,467970,104050355,196,98.82,52.12,357
250,3,250,-,-,431868,108667967,270,6835.9,431868,684,464709,103882262,215,100.85,48.35,369
250,4,181,-,-,401723,108052964,288,6809.45,401723,669,465135,103321698,251,104.92,45.85,327
250,5,167,-,-,400433,107422495,304,6779.07,400433,636,410219,103161496,278,124.4,61.99,347
250,6,140,-,-,393421,106848223,315,6768.4,393421,612,389110,102503031,328,122.78,59.24,325
250,7,114,-,-,384660,106130766,355,6768.51,384660,641,404173,102173597,330,122.87,63.45,322
250,8,104,-,-,372442,105789279,374,6773.93,372442,636,389060,101498177,346,125.3,61.81,320
350,1,298,-,-,451192,110464562,172,7247.77,451192,951,516768,104318552,137,98.19,54.3,394
350,2,259,-,-,458369,110661772,198,7214.2,458369,990,498869,104337124,145,100.81,53.36,386
350,3,230,-,-,483508,110135573,189,7156.97,483508,907,489419,104327081,167,98.86,53.23,398
350,4,203,-,-,492781,110082264,211,7145.75,492781,886,511806,104224561,180,101.37,53.16,394
